치료명,적용 범위,비용,비고
치근단수술,1치아,"400,000원",-
캐스팅 포스트,1치아,"100,000원",-
파이버 포스트,1치아,"100,000원",-
레진 코어,1치아,"50,000원",-
라미네이트,1치아,"660,000원",-
세라믹 오버레이,1치아,"430,000원",-
세라믹 온레이,1치아,"360,000원",-
세라믹 인레이,1치아,"320,000원",-
앞니 벌어짐,1치아,"230,000원",-
"레진(전치 인접면, 복잡)",1치아,"230,000원",-
"레진(전치 인접면, 단순)",1치아,"170,000원",-
레진(구치 인접면),1치아,"280,000원",-
"레진(교합면, 복잡)",1치아,"200,000원",-
"레진(교합면, 단순)",1치아,"150,000원",-
치경부 레진,1치아,"80,000원",-
MTA - 치수절단,1치아,"100,000원",-
