치료명,적용 범위,비용,비고
불소 도포,전악,"30,000원",-
치아 홈메우기,1치아,"30,000원",-
Band(Crown) & Loop,1치아,"150,000원",-
SS Crown,1치아,"120,000원",-
소아 레진,1치아,"70,000원",-
