치료명,적용 범위,비용,비고
임시치아,1치아,"100,000원",-
"자연치 어태치먼트, 인공치",1치아,"450,000원",-
지르코니아(구치부),1치아,"550,000원",-
지르코니아(전치부),1치아,"600,000원",-
올세라믹(전치부),1치아,"600,000원",-
SuperA 골드 크라운,1치아,"800,000원",-
