치료명,적용 범위,비용,비고
라미네이트,1치아,"660,000원",10% 부가세 포함
자가 미백,1악,"165,000원",10% 부가세 포함
실활치 미백,1치아,"77,000원",10% 부가세 포함
보톡스,50 unit,"110,000원",10% 부가세 포함
